Date,Close/Last,Volume,Open,High,Low
10/25/2021,$39.64,366288,$38.46,$39.79,$38.05
10/22/2021,$38.58,456955,$39.45,$39.64,$38.25
10/21/2021,$40.18,391870,$39.66,$40.62,$39.2
10/20/2021,$39.66,628900,$40.934,$41.88,$39.48
10/19/2021,$41.38,555096,$40.92,$42.72,$40.71
10/18/2021,$40.98,826875,$40.33,$41.5,$39.7
10/15/2021,$39.82,2268415,$45.39,$46.74,$38.3
10/14/2021,$45.47,824872,$44.01,$46.935,$43.34
10/13/2021,$43.9,637921,$41.4,$44.105,$41.4
10/12/2021,$41.18,2871432,$37.54,$42.45,$37.54
10/11/2021,$43.17,386704,$43.68,$43.87,$42.52
10/08/2021,$43.77,250572,$43.89,$44.68,$43.1
10/07/2021,$44.1,355438,$42.87,$45.16,$42.69
10/06/2021,$42.69,548935,$43.05,$44.6299,$42.44
10/05/2021,$43.89,526356,$43.6,$45.48,$43.14
10/04/2021,$43.3,1269244,$45,$46.05,$42.98
10/01/2021,$46.57,2173242,$52.11,$52.11,$45.33
09/30/2021,$54.62,300127,$54.22,$55.54,$53.59
09/29/2021,$54.9,267765,$55.99,$57.27,$54.75
09/28/2021,$56.08,378264,$54.67,$56.46,$54.1
09/27/2021,$56.19,364816,$57.49,$58.36,$54.83
09/24/2021,$58.04,342378,$56.65,$58.27,$56.55
09/23/2021,$57.85,421683,$56.297,$58.21,$55.5
09/22/2021,$55.3,358654,$54,$55.67,$52.83
09/21/2021,$53.59,291907,$53.72,$54.88,$52.891
09/20/2021,$53.3,563707,$52.47,$54.87,$52.06
09/17/2021,$55.11,813632,$55.28,$55.74,$53.73
09/16/2021,$55.11,633417,$56,$57.0435,$54.28
09/15/2021,$56.39,949123,$58.38,$59.9,$55.91
09/14/2021,$60.75,862879,$62.9,$65.39,$60.0882
09/13/2021,$66.05,314670,$66.99,$67.96,$65.0229
09/10/2021,$67.48,224145,$68.21,$69.26,$67.32
09/09/2021,$68.67,250458,$67.33,$69.68,$67.2635
09/08/2021,$68.36,310785,$67.53,$69.98,$67.22
09/07/2021,$68.5,592249,$68.99,$69.39,$66.57
09/03/2021,$69.75,299449,$70.33,$71.63,$69.62
09/02/2021,$71.84,389850,$69.9,$71.98,$68.13
09/01/2021,$69.85,402218,$67.19,$70,$66.5
08/31/2021,$65.83,1184270,$68.15,$69.32,$63.36
08/30/2021,$71.2,363445,$72.5,$73,$68.76
08/27/2021,$72.25,381619,$71.37,$73.221,$70.67
08/26/2021,$72.11,513992,$74.5,$75.68,$70.6
08/25/2021,$74.5,474995,$70.99,$74.7,$70.0045
08/24/2021,$72.04,1004466,$73.15,$73.79,$70.33
08/23/2021,$71.02,791624,$67.8,$71.25,$67.44
08/20/2021,$66.82,410346,$63.49,$67,$62.8574
08/19/2021,$63.61,550124,$65.06,$66,$62.32
08/18/2021,$66.03,780669,$67.64,$68.2655,$64.7
08/17/2021,$66.27,1298320,$61.66,$66.5602,$61.185
08/16/2021,$61.31,1579244,$63.5,$63.9821,$57.55
08/13/2021,$58.8,615968,$60.513,$60.75,$58.16
08/12/2021,$59.58,549949,$62.69,$63.2536,$59.21
08/11/2021,$62.69,972403,$67.183,$67.57,$60.7
08/10/2021,$65.17,805556,$64.08,$65.48,$63.0581
08/09/2021,$62.18,665020,$59.65,$63.08,$58.52
08/06/2021,$59.65,691912,$61.33,$61.87,$57.7
08/05/2021,$62.53,1221575,$59.157,$63.03,$57.9
08/04/2021,$57.91,1147529,$54.54,$59.68,$54.27
08/03/2021,$54.54,1205680,$52.42,$56.13,$52.25
08/02/2021,$49.89,406477,$49.87,$51,$49.45
07/30/2021,$49.26,752087,$51.69,$51.795,$48.92
07/29/2021,$51.86,340640,$52.79,$53.26,$51.02
07/28/2021,$52.79,322336,$52.13,$53.62,$52.011
07/27/2021,$52.37,280128,$54.48,$54.55,$51.5101
07/26/2021,$54.2,342633,$53.1,$54.935,$52.875
07/23/2021,$54.17,399898,$54.97,$55.44,$52.6942
07/22/2021,$55.08,374683,$54.1,$55.4699,$53.77
07/21/2021,$53.67,535667,$53.76,$55.49,$53.25
07/20/2021,$52.64,448302,$50.37,$52.93,$50
07/19/2021,$50.16,907101,$49.47,$50.5351,$48.3301
07/16/2021,$50.26,965200,$51.17,$51.88,$49.34
07/15/2021,$51,664927,$50.93,$53.15,$50.21
07/14/2021,$50,1806351,$53,$53.5,$49.5
07/13/2021,$55.08,1080641,$57.49,$57.49,$55
07/12/2021,$58.7,828983,$59.27,$60,$57.8
07/09/2021,$58.8,463829,$59.13,$59.29,$58
07/08/2021,$58.73,558537,$56.72,$60.2559,$56.56
07/07/2021,$59.97,1082788,$60.22,$60.49,$58.35
07/06/2021,$61.42,753963,$63.82,$64.02,$60.15
07/02/2021,$64.76,990274,$65.77,$66.91,$63.97
07/01/2021,$67.85,2621306,$62.1535,$70.2994,$62
06/30/2021,$73.48,1729656,$69.67,$76.22,$69.1
06/29/2021,$67.46,1096339,$63.74,$67.7,$63.57
06/28/2021,$63.61,911304,$63.35,$64.5,$61.0201
06/25/2021,$63.26,3627113,$60.3,$63.34,$59.61
06/24/2021,$59.76,1046898,$58.185,$60.4,$57.9899
06/23/2021,$56.91,1470320,$57.01,$58.1,$54.99
06/22/2021,$58.1,1652486,$59,$59.88,$56.25
06/21/2021,$59.67,2761280,$64.76,$64.77,$57.175
06/18/2021,$61.94,6807987,$63.905,$68.36,$60.61
06/17/2021,$57.83,15374040,$50.59,$58.84,$47.12
06/16/2021,$94.79,2745163,$98.76,$101,$93.92
06/15/2021,$98.2,452601,$99.36,$100.4995,$97.975
06/14/2021,$99,812009,$101.42,$101.7,$97.38
06/11/2021,$97.82,1232171,$96.9,$100.218,$96.51
06/10/2021,$105.8,614781,$104,$107.315,$103.01
06/09/2021,$105.72,773492,$109.4,$111.85,$104.49
06/08/2021,$109.29,2293706,$107.11,$110.77,$101.5
06/07/2021,$125,1752538,$117,$125.66,$117
06/04/2021,$116.11,543247,$112.44,$116.13,$112.44
06/03/2021,$114.47,381490,$112.298,$114.51,$111.3
06/02/2021,$114.61,553636,$108,$114.61,$107.8
06/01/2021,$108.28,652474,$105.42,$109,$103.77
05/28/2021,$111.48,480347,$111.36,$113.5534,$110.81
05/27/2021,$110.94,536179,$112.26,$113.35,$109.5
05/26/2021,$114.35,676896,$114.2,$117.41,$112.3
05/25/2021,$115.67,440863,$114.62,$116.3,$114.46
05/24/2021,$114.57,476409,$115.6,$117.98,$114.05
05/21/2021,$115.34,511982,$114.99,$116.2,$112.63
05/20/2021,$114.96,734832,$110.58,$117,$110.58
05/19/2021,$111.8,832044,$106.27,$113,$106.27
05/18/2021,$113.36,744230,$115.197,$115.685,$110.26
05/17/2021,$116.38,856528,$108.75,$116.93,$108.13
05/14/2021,$109.99,1132913,$102.942,$110.32,$102.35
05/13/2021,$102.35,853091,$97.58,$102.36,$95.61
05/12/2021,$93.96,1017222,$97.51,$99.65,$93.1
05/11/2021,$97.97,1589026,$96.89,$100.7,$95.1
05/10/2021,$105.79,1340082,$105.25,$108.5,$100
05/07/2021,$100.4,1507922,$102.9,$104,$98.3201
05/06/2021,$93.95,3167658,$92.55,$96.4,$87.71
05/05/2021,$101.2,1901881,$110.94,$116.35,$98.8069
05/04/2021,$109.13,1886139,$115.198,$116.75,$106.26
05/03/2021,$120.2,1112483,$120.71,$121.89,$117.6335
04/30/2021,$116.94,915370,$113.74,$117.26,$113.28
04/29/2021,$115.01,1665936,$120.7,$121,$111.09
04/28/2021,$118.29,2351731,$130.449,$130.48,$114.34
04/27/2021,$127.53,1618123,$124.59,$128.33,$122.62
04/26/2021,$120.89,1518360,$117.43,$121.76,$116.5
04/23/2021,$116.37,843063,$115.05,$116.48,$114.2
04/22/2021,$114.1,722041,$112.02,$114.86,$111.51
04/21/2021,$112.94,782800,$110.11,$113,$109.6
04/20/2021,$110.78,1038693,$109.94,$111.27,$106.58
04/19/2021,$113,1790556,$110.255,$113,$109.02
04/16/2021,$109.29,1585092,$108.38,$109.29,$104.4
04/15/2021,$104.05,1665927,$105.96,$108.4371,$102.81
04/14/2021,$102.61,1503729,$100,$104.49,$99.91
04/13/2021,$95.65,1039688,$95,$97.31,$93.8
04/12/2021,$92.15,996848,$92.853,$93,$90.02
04/09/2021,$87.92,809639,$90.01,$92.42,$86.65
04/08/2021,$89.42,471611,$89.87,$90.54,$88.624
04/07/2021,$89.37,686354,$91.58,$92.4,$88.61
04/06/2021,$92.54,371266,$92.48,$93.08,$90.815
04/05/2021,$92.58,318485,$90.507,$93.3883,$89.5861
04/01/2021,$91.19,602580,$91.89,$93.89,$90.68
03/31/2021,$91.46,486925,$90.17,$92.88,$90.15
03/30/2021,$88.76,503853,$84.5,$88.78,$83.58
